Conference,Division,Losses,Points_against,Points_for,Points_rank,Season_Type,Season_Year,Team_ID,Team_Name,Ties,Touchdown_diff,Win_pct,Wins
AFC,AFC East,4,313,468,12,REG,2014,97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,0,20,0.75,12
AFC,AFC East,7,289,343,22,REG,2014,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,0,6,0.563,9
AFC,AFC East,8,373,388,31,REG,2014,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,0,0,0.5,8
AFC,AFC East,12,401,283,52,REG,2014,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,0,-19,0.25,4
AFC,AFC North,5,368,436,25,REG,2014,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,0,9,0.688,11
AFC,AFC North,5,344,365,27,REG,2014,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,1,2,0.656,10
AFC,AFC North,6,302,409,14,REG,2014,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,0,16,0.625,10
AFC,AFC North,9,337,299,36,REG,2014,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,0,-4,0.438,7
AFC,AFC South,5,369,458,25,REG,2014,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,0,7,0.688,11
AFC,AFC South,7,307,372,21,REG,2014,82d2d380-3834-4938-835f-aec541e5ece7,Texans,0,4,0.563,9
AFC,AFC South,13,412,249,58,REG,2014,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jaguars,0,-18,0.188,3
AFC,AFC South,14,438,254,59,REG,2014,d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,0,-20,0.125,2
AFC,AFC West,4,354,482,18,REG,2014,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Broncos,0,17,0.75,12
AFC,AFC West,7,281,353,18,REG,2014,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Chiefs,0,14,0.563,9
AFC,AFC West,7,348,348,30,REG,2014,9dbb9060-ba0f-4920-829e-16d4d9246b5d,Chargers,0,2,0.563,9
AFC,AFC West,13,452,253,63,REG,2014,1c1cec48-6352-4556-b789-35304c1a6ae1,Raiders,0,-23,0.188,3
NFC,NFC East,4,352,467,20,REG,2014,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Cowboys,0,13,0.75,12
NFC,NFC East,6,400,474,25,REG,2014,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Eagles,0,6,0.625,10
NFC,NFC East,10,400,380,35,REG,2014,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Giants,0,-1,0.375,6
NFC,NFC East,12,438,301,55,REG,2014,22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,0,-20,0.25,4
NFC,NFC North,4,348,486,14,REG,2014,a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,0,18,0.75,12
NFC,NFC North,5,282,321,25,REG,2014,c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,0,3,0.688,11
NFC,NFC North,9,343,325,31,REG,2014,33405046-04ee-4058-a950-d606f8c30852,Vikings,0,-3,0.438,7
NFC,NFC North,11,442,319,54,REG,2014,7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,0,-9,0.313,5
NFC,NFC South,8,374,339,40,REG,2014,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,1,-8,0.469,7
NFC,NFC South,9,424,401,37,REG,2014,0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,0,2,0.438,7
NFC,NFC South,10,417,381,39,REG,2014,e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,0,-4,0.375,6
NFC,NFC South,14,410,277,54,REG,2014,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,0,-15,0.125,2
NFC,NFC West,4,254,394,11,REG,2014,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,0,16,0.75,12
NFC,NFC West,5,299,310,29,REG,2014,de760528-1dc0-416a-a978-b510d20692ff,Cardinals,0,0,0.688,11
NFC,NFC West,8,340,306,35,REG,2014,f0e724b0-4cbf-495a-be47-013907608da9,49ers,0,-7,0.5,8
NFC,NFC West,10,354,324,37,REG,2014,39f349de-6463-4803-ad70-f1e0f144f5ed,Rams,0,-4,0.375,6
